"","CWM T0 - BWA 2024 RDAM NL - Export 20241121 - R=18.csv"
"1","#"
"2","Audio recording"
"3","Data sharing"
"4","Just for verification, what's your name?"
"5","And..."
"6","Your Genesis..."
"7","Email verification"
"8","If you use Instagram, what is your name there?"
"9","Do you have a diploma? If so, from which program?"
"10","What's your professional title"
"11","Are you registered with the Chamber of Commerce"
"12","What's your Chamber of Commerce registration number?"
"13","What city do you live in?"
"14","To improve my personal skills"
"15","To increase my income"
"16","To become a (fulltime) creative entrepreneur"
"17","To improve my entrepreneurial skills"
"18","To learn more about entrepreneurialism"
"19","To start a (creative) company"
"20","To learn how to better manage my current creative business"
"21","To better profile myself as an entrepreneur"
"22","To start seeing myself more as an entrepreneur"
"23","Because I'm having difficulty making money from my creativity"
"24","Because I lack business knowhow"
"25","Because the time I spend on business is hurting my creativity"
"26","Because I don't have enough time to develop a long term strategy"
"27","Because I want to put a value on my creativity"
"28","Other"
"29","Which component of the Braenworks Academy do you consider most valuable to you at this point?"
"30","Can you explain why you chose ""{{field:a3329bb5-67ab-418c-a388-237285d8ecda}}"" ?"
"31","Which of your activities provides you with the bigger part of your monthly income"
"32","What's your current monthly income"
"33","Roughly, which percentage of your income flows from business or projects that you own?"
"34","In the coming 12 months I want to conduct practical experiments to find solutions for clients and employers"
"35","In the coming 12 months I'm planning to develop some kind of prototype for a product or a service"
"36","In the coming 12 months I'm planning to develop a new value proposition"
"37","In the coming 12 months I'm planning to test my value proposition with clients and employers"
"38","In the coming 12 months I'm planning to quit my job, or decrease my hours, so I can focus on my business venture."
"39","In the coming 12 months I'm planning to invest my own money in my business venture."
"40","In the coming 12 months I'm planning to open a business bank account."
"41","In the coming 12 months I'm planning to purchase expensive hardware for my business venture."
"42","In the coming 12 months I'm planning to seek funding for my plans."
"43","I always recognize opportunities"
"44","I'm creative."
"45","I'm good at solving problems."
"46","I'm a good leader."
"47","Communicating with others comes easy to me."
"48","I always have new ideas."
"49","It's easy for me to make connections."
"50","I'm confident."
"51","I'm analytical."
"52","I'm an optimist."
"53","I love authenticity (staying grounded)."
"54","I'm goal oriented."
"55","I'm decisive."
"56","I'm curious."
"57","I'm disciplined."
"58","I'm socially adaptable."
"59","i'm communicative."
"60","I'm efficient."
"61","I'm a responsible person."
"62","I've got perseverance."
"63","I've got self-knowledge."
"64","I've got empathy."
"65","I've got good leadership skills"
"66","I'm immune to stress."
"67","I always give it my all, even when it gets tough."
"68","I put a lot of effort in the improvement of the work I produce."
"69","I always try to take on more responsibilities."
"70","I alway try to outperform my peers."
"71","When I make plans, I am convinced that they'll work out."
"72","When I do something well, it's because of my skills and not just because of luck."
"73","Whatever happens to me is the result of my own behaviour. 
"
"74","Most bad circumstances in life are caused by bad luck."
"75","Having a successful (creative) business is mostly the result of being at the right place at the right time."
"76","Sometimes I feel like I don't have enough control over my life."
"77","There's nothing more interesting than living under ever changing circumstances."
"78","Innovative people and people who take risks achieve more in life than orderly people."
"79","If you really want to enjoy your vacation, you should plan it down to the details."
"80","Doing the same thing in the same space leads to a happy life."
"81","Do you have the knowledge, skills and experience to start or run a business?"
"82","Do you think that the coming six months will provide good opportunities for you to start/continue a business in your area?"
"83","Would fear of failure stop you from starting or continuing a business?"
"84","Do you know anybody who has their own business?"
"85","Do you think that the demand for creative professionals will be better, worse or the same?"
"86","Do you think that your financial circumstances will be better, worse or the same within a year?"
"87","Worries often stand in the way of my performance."
"88","My thoughts and feelings do not prevent me from tapping my full potential when I work."
"89","If I want to achieve something professionally, I will go for it."
"90","I regularly make concrete plans for the future, for my work and my career."
"91","It is difficult for me to let go of disturbing thoughts when I work, even if I know it would help me."
"92","I can easily describe my beliefs and opinions when I work."
"93","I feel restricted by everything that I demand from myself when I work."
"94","I don't expect myself to do everything right when I work."
"95","I realise that my actions are my own choices."
"96","I find support in the people that surround me"
"97","It is exciting to figure out new ways to solve unmet work challenges that can be commercialized"
"98","Searching for new ideas to express in my work is enjoyable to me"
"99","I am motivated to figure out how to make my current work more innovative"
"100","Scanning my surroundings for new work opportunities excites me"
"101","Starting a new business or project excites me"
"102","Having creative freedom energizes me"
"103","Nurturing a new project and making it successful excites me"
"104","Commercializing my work to generate money is important"
"105","I actively seek out the right people to network with in order to build my professional reputation"
"106","Collaborating with others is a part of my work"
"107","Pushing myself beyond my comfort zone excites and better motivates me"
"108","Nurturing and growing my professional work is an important part of who I am"
"109","Persuing a creative or entrepreneurial career is a calling and should be persued for its own sake"
"110","I often have no idea where my next Euros will come from"
"111","It is hard for me to plan for large expenses as it is difficult to predict what my income will
be in any given year."
"112","I often canâ€™t predict when I will get my next paycheck."
"113","I find it difficult to stick to effective routines for handling all the backoffice work that come with my work"
"114","Sometimes I fall seriously behind on doing the necessary administrative tasks to keep
my projects going."
"115","I sometimes feel overwhelmed by all of the different tasks I have to complete in my
work."
"116","I wear so many professional hats that it is sometimes difficult to have a clear sense of
who I am as a professional"
"117","It is sometimes difficult to explain to others who I am as a professional."
"118","My life as an (independent) professional can get pretty intense emotionally."
"119","Working as an (independent) professional is emotional."
"120","In my professional life, my emotions are all over the place."
"121","My professional life can get lonely"
"122","I feel alone in my professional life, separated from mentors and colleagues who might help me"
"123","Sometimes I miss being part of a team when I work"
"124","I don't know where my career might go in the future"
"125","Where I go from here in my career is very unclear"
"126","I'm not sure what kind of work I'll be doing next year"
"127","Would you like to apply for the New Deal Scholarship?"
"128","Phone number"
"129","You made it to the end!"
"130","Response Type"
"131","Start Date (UTC)"
"132","Stage Date (UTC)"
"133","Submit Date (UTC)"
"134","Network ID"
"135","Tags"
